query,entity,label
where are oregon pipe cactuses located in arizona,Oregon Pipe Cactuses,ORG
where are oregon pipe cactuses located in arizona,Arizona,GPE
where are oregon pipe cactuses located in arizona,the Sonoran Desert,LOC
where are oregon pipe cactuses located in arizona,"Organ Pipe Cactus National Monument,",ORG
where are oregon pipe cactuses located in arizona,Saguaro National Park,ORG
where are oregon pipe cactuses located in arizona,Tucson,GPE
organ pipe cactus what is the name of the desert,the Sonoran Desert,LOC
organ pipe cactus what is the name of the desert,North America,LOC
organ pipe cactus what is the name of the desert,United States,GPE
organ pipe cactus what is the name of the desert,Mexico,GPE
when was the last time this volcano erupted in new mexico,New Mexico,GPE
when was the last time this volcano erupted in new mexico,"over 1,000 years",DATE
when was the last time this volcano erupted in new mexico,Mount Taylor,LOC
when was the last time this volcano erupted in new mexico,"1,600 years ago",DATE
when was the last time volcano capulin,Volcano Capulin,PERSON
when was the last time volcano capulin,"approximately 60,000 years ago",DATE
what is the country is the roosevelt campobello in ,Roosevelt Campobello International Park,PERSON
what is the country is the roosevelt campobello in ,Campobello Island,LOC
what is the country is the roosevelt campobello in ,New Brunswick,GPE
what is the country is the roosevelt campobello in ,Canada,GPE
what is the two particular species exist in Florida,Florida,GPE
what is the two particular species exist in Florida,two,CARDINAL
what is the two particular species exist in Florida,Florida,GPE
what is the two particular species exist in Florida,American,NORP
how many students did gone to a all white school in Arkansas,Arkansas,GPE
how many students did gone to a all white school in Arkansas,Supreme Court,ORG
how many students did gone to a all white school in Arkansas,Brown v. Board of Education,ORG
how many students did gone to a all white school in Arkansas,1954,DATE
how many students did gone to a all white school in Arkansas in 1957,1957,DATE
how many students did gone to a all white school in Arkansas in 1957,nine,CARDINAL
how many students did gone to a all white school in Arkansas in 1957,African American,NORP
how many students did gone to a all white school in Arkansas in 1957,the Little Rock Nine,ORG
how many students did gone to a all white school in Arkansas in 1957,Arkansas,GPE
how many students did gone to a all white school in Arkansas in 1957,the Arkansas National Guard,ORG
how many students did gone to a all white school in Arkansas in 1957,Eisenhower,PERSON
organ pipe cactus national monument ,Organ Pipe Cactus National Monument,ORG
organ pipe cactus national monument ,Arizona,GPE
organ pipe cactus national monument ,USA,GPE
organ pipe cactus national monument ,Mexican,NORP
organ pipe cactus national monument ,UNESCO Biosphere Reserve,ORG
what arizona desert is  organ pipe cactus national monument in?,Organ Pipe Cactus National Monument,ORG
what arizona desert is  organ pipe cactus national monument in?,the Sonoran Desert,LOC
what arizona desert is  organ pipe cactus national monument in?,Arizona,GPE
what arizona desert is  organ pipe cactus national monument in?,United States,GPE
arizona desert with organ pipe cactus national monument,Organ Pipe Cactus National Monument,ORG
arizona desert with organ pipe cactus national monument,Arizona,GPE
arizona desert with organ pipe cactus national monument,Sonoran Desert,PERSON
arizona desert with organ pipe cactus national monument,Arizona,GPE
arizona desert with organ pipe cactus national monument,Organ Pipe Cactus National Monument,ORG
what two species exist side by side in everglades national partk,Everglades National Park,LOC
what two species exist side by side in everglades national partk,two,CARDINAL
what two species exist side by side in everglades national partk,American,NORP
what two species exist side by side in everglades national partk,Florida,GPE
what two species exist side by side in everglades national partk,Florida,GPE
what lives in everglades national park,National Park,GPE
what lives in everglades national park,Florida,GPE
what lives in everglades national park,American,NORP
what lives in everglades national park,West Indian,NORP
when did the capulin volcano last erupt,"approximately 60,000 years ago",DATE
what country is the roosevelt campobello park in,Roosevelt Campobello Park,PERSON
what country is the roosevelt campobello park in,Canada,GPE
what country is the roosevelt campobello park in,New Brunswick,GPE
what country is the roosevelt campobello park in,Campobello Island,LOC
what country is the roosevelt campobello park in,the United States,GPE
what country is the roosevelt campobello park in,Canadian,NORP
what event happened in 1859 between two countries ,1859,DATE
what event happened in 1859 between two countries ,the Second Italian War of Independence,EVENT
what event happened in 1859 between two countries ,the Kingdom of Sardinia,GPE
what event happened in 1859 between two countries ,the Austrian Empire,GPE
places in pennsylvania to visit,Pennsylvania,GPE
places in pennsylvania to visit,1,CARDINAL
places in pennsylvania to visit,Philadelphia,GPE
places in pennsylvania to visit,the Liberty Bell,ORG
places in pennsylvania to visit,Independence Hall,ORG
places in pennsylvania to visit,the Philadelphia Museum of Art,ORG
places in pennsylvania to visit,2,CARDINAL
places in pennsylvania to visit,Pittsburgh,GPE
places in pennsylvania to visit,the Andy Warhol Museum,ORG
places in pennsylvania to visit,the Carnegie Museum of Natural History,ORG
places in pennsylvania to visit,Phipps Conservatory,ORG
places in pennsylvania to visit,Botanical Gardens,LOC
places in pennsylvania to visit,3,CARDINAL
places in pennsylvania to visit,Chocolate World,ORG
places in pennsylvania to visit,Hersheypark,PERSON
places in pennsylvania to visit,4,CARDINAL
places in pennsylvania to visit,the Civil War,EVENT
places in pennsylvania to visit,the Gettysburg National Military Park,FAC
places in pennsylvania to visit,5,CARDINAL
places in pennsylvania to visit,Amish,NORP
places in pennsylvania to visit,6,CARDINAL
places in pennsylvania to visit,7,CARDINAL
places in pennsylvania to visit,the Erie Maritime Museum,ORG
places in pennsylvania to visit,8,CARDINAL
places in pennsylvania to visit,the Steamtown National Historic Site,ORG
places in pennsylvania to visit,the Lackawanna Coal Mine Tour,ORG
places in pennsylvania to visit,9.,CARDINAL
places in pennsylvania to visit,the Dorney Park & Wildwater Kingdom,ORG
places in pennsylvania to visit,the Allentown Art Museum,ORG
places in pennsylvania to visit,10,CARDINAL
places in pennsylvania to visit,Valley Forge,PERSON
places in pennsylvania to visit,the American Revolution,EVENT
places in pennsylvania to visit,Valley Forge National Historical Park,ORG
fun places to visit in pennsylvania,Pennsylvania,GPE
fun places to visit in pennsylvania,1,CARDINAL
fun places to visit in pennsylvania,Hershey,ORG
fun places to visit in pennsylvania,Chocolate World - Hershey,ORG
fun places to visit in pennsylvania,2,CARDINAL
fun places to visit in pennsylvania,Gettysburg National Military Park - Gettysburg,ORG
fun places to visit in pennsylvania,3,CARDINAL
fun places to visit in pennsylvania,Philadelphia Museum of Art - Philadelphia,ORG
fun places to visit in pennsylvania,"PA
4",ORG
fun places to visit in pennsylvania,Kennywood Park - Pittsburgh,PERSON
fun places to visit in pennsylvania,5,CARDINAL
fun places to visit in pennsylvania,Longwood Gardens - Kennett Square,PERSON
fun places to visit in pennsylvania,6,CARDINAL
fun places to visit in pennsylvania,Fallingwater - Mill Run,PERSON
fun places to visit in pennsylvania,7,CARDINAL
fun places to visit in pennsylvania,Dutch Wonderland - Lancaster,PERSON
fun places to visit in pennsylvania,8,CARDINAL
fun places to visit in pennsylvania,Phipps Conservatory,ORG
fun places to visit in pennsylvania,Botanical Gardens - Pittsburgh,FAC
fun places to visit in pennsylvania,9,CARDINAL
fun places to visit in pennsylvania,Valley Forge National Historical Park - King of Prussia,ORG
fun places to visit in pennsylvania,10,CARDINAL
fun places to visit in pennsylvania,Andy Warhol Museum - Pittsburgh,PERSON
fun places to visit in pennsylvania,PA,GPE
fun places to visit in pennsylvania,Pennsylvania,GPE
coco movie,Coco,WORK_OF_ART
coco movie,2017,DATE
coco movie,American,NORP
coco movie,Pixar Animation Studios,ORG
coco movie,Walt Disney Pictures,ORG
coco movie,Miguel,PERSON
coco movie,Miguel,PERSON
coco movie,Miguel,PERSON
coco movie,Coco,WORK_OF_ART
coco movie,over $800 million,MONEY
coco movie,two,CARDINAL
coco movie,Academy Awards,ORG
coco movie,Best Original Song,ORG
coco movie,Remember Me,WORK_OF_ART
what is the movie coco about,Coco,WORK_OF_ART
what is the movie coco about,2017,DATE
what is the movie coco about,American,NORP
what is the movie coco about,Pixar Animation Studios,ORG
what is the movie coco about,Miguel,PERSON
what is the movie coco about,the Day of the Dead,DATE
what is the movie coco about,Miguel,PERSON
cool facts about Hawaii,Hawaii,GPE
cool facts about Hawaii,1,CARDINAL
cool facts about Hawaii,Hawaii,GPE
cool facts about Hawaii,the United States,GPE
cool facts about Hawaii,2,CARDINAL
cool facts about Hawaii,Hawaiian,NORP
cool facts about Hawaii,only 12,CARDINAL
cool facts about Hawaii,N,GPE
cool facts about Hawaii,P,ORG
cool facts about Hawaii,"W.

3",PERSON
cool facts about Hawaii,Mauna Kea,GPE
cool facts about Hawaii,Hawaii,GPE
cool facts about Hawaii,4,CARDINAL
cool facts about Hawaii,Hawaii,GPE
cool facts about Hawaii,5,CARDINAL
cool facts about Hawaii,Hawaii,GPE
cool facts about Hawaii,Oahu,ORG
cool facts about Hawaii,6,CARDINAL
cool facts about Hawaii,Hawaiian,NORP
cool facts about Hawaii,millions of years,DATE
cool facts about Hawaii,7,CARDINAL
cool facts about Hawaii,Hawaii,GPE
cool facts about Hawaii,8,CARDINAL
cool facts about Hawaii,Hawaii,GPE
cool facts about Hawaii,U.S.,GPE
cool facts about Hawaii,9,CARDINAL
cool facts about Hawaii,Hawaiian,NORP
cool facts about Hawaii,10,CARDINAL
cool facts about Hawaii,Hawaii,GPE
cool facts about Hawaii,U.S.,GPE
picture of a river,AI language model,EVENT
what habitat does an Aardvark live in,Aardvarks,ORG
what habitat does an Aardvark live in,Africa,LOC
what habitat does an Aardvark live in,Aardvarks,ORG
what habitat does an Aardvark live in,the day,DATE
what habitat does an Aardvark live in,night,TIME
fart noises,None,None
what is the movie leap about,Leap,WORK_OF_ART
what is the movie leap about,11-year-old,DATE
what is the movie leap about,FÃ,ORG
what is the movie leap about,Paris,GPE
what is the movie leap about,Victor,PERSON
what is the movie leap about,Paris,GPE
what is the movie leap about,Opera Ballet School,ORG
what is the movie leap about,FÃ,ORG
what habitat do platypus live in,Australia,GPE
what habitat do platypus live in,Tasmania,GPE
what is minecraft,Minecraft,ORG
what is minecraft,Markus Persson,PERSON
what is minecraft,Mojang Studios,ORG
what is minecraft,2011,DATE
what is minecraft,Minecraft,ORG
what is minecraft,over 200 million,CARDINAL
leap movie,Leap,WORK_OF_ART
leap movie,Felicie,ORG
leap movie,Paris,GPE
leap movie,Victor,PERSON
leap movie,Opera Ballet School,ORG
leap movie,Elle Fanning,FAC
leap movie,Dane DeHaan,PERSON
leap movie,Carly Rae Jepsen,PERSON
platapus libes in,Australia,GPE
platapus libes in,Tasmania,GPE
platapus libes in,one,CARDINAL
whit is the move leap ,None,None
what kind of habitat do platypus live in,Australia,GPE
what kind of habitat do platypus live in,Tasmania,GPE
xmission,None,None
minecraft videos,Minecraft,ORG
minecraft videos,1,CARDINAL
minecraft videos,YouTuber,ORG
minecraft videos,Minecraft,PERSON
minecraft videos,2,CARDINAL
minecraft videos,YouTuber,ORG
minecraft videos,Minecraft,PERSON
minecraft videos,3,CARDINAL
minecraft videos,British,NORP
minecraft videos,YouTuber,ORG
minecraft videos,Minecraft,PERSON
minecraft videos,4,CARDINAL
minecraft videos,CaptainSparklez,ORG
minecraft videos,YouTuber,ORG
minecraft videos,Minecraft,PRODUCT
minecraft videos,Mumbo Jumbo - A,PERSON
minecraft videos,YouTuber,ORG
minecraft videos,Minecraft,PERSON
minecraft videos,Minecraft,PRODUCT
minecraft videos,7,CARDINAL
minecraft videos,YouTuber,ORG
minecraft videos,Minecraft,PERSON
minecraft videos,Minecraft,PERSON
minecraft videos,Minecraft,PERSON
minecraft videos,10,CARDINAL
minecraft videos,Bajan Canadian - A,PERSON
minecraft videos,Minecraft,PERSON
google earth,Google Earth,ORG
google earth,Google,ORG
dog names from where the red fern grows,1,CARDINAL
dog names from where the red fern grows,2,CARDINAL
dog names from where the red fern grows,"Dan
3",PERSON
dog names from where the red fern grows,"Rainie
4",ORG
dog names from where the red fern grows,"Rubin
5",PERSON
dog names from where the red fern grows,Samson,ORG
dog names from where the red fern grows,6,CARDINAL
dog names from where the red fern grows,"Ringtail
8",PERSON
dog names from where the red fern grows,Burnin' Daylight,ORG
who is the mayor of boise idaho,2021,DATE
who is the mayor of boise idaho,Boise,GPE
who is the mayor of boise idaho,Idaho,GPE
who is the mayor of boise idaho,Lauren McLean,PERSON
garfield elementary school web page,AI language,EVENT
garfield elementary school web page,the Garfield Elementary School,ORG
garfield elementary school web page,Google,ORG
garfield elementary school web page,Garfield Elementary School,WORK_OF_ART
bumblebee,North America,LOC
bumblebee,Europe,LOC
bumblebee,Asia,LOC
bumblebee,colonies,GPE
transformers,one,CARDINAL
transformers,two,CARDINAL
garfield elementary website,AI language,EVENT
garfield elementary website,Garfield Elementary School's,ORG
garfield elementary website,Google,ORG
garfield elementary website,Garfield Elementary School,WORK_OF_ART
Boise Idaho Garfield Elematary ,None,None
Boise Idaho Garfield Elematarys calender,AI language,EVENT
Boise Idaho Garfield Elematarys calender,Garfield Elementary School,ORG
Boise Idaho Garfield Elematarys calender,Boise,GPE
Boise Idaho Garfield Elematarys calender,Idaho,GPE
Sierra Powell born november 10 2006,Sierra Powell,PERSON
pax from the book pax,Sara Pennypacker,PERSON
pax from the book pax,Peter,PERSON
pax from the book pax,Peter,PERSON
pax from the book pax,Peter,PERSON
pax from the book pax,Peter,PERSON
how much money does a hoverboard cost,around $100 to $500,MONEY
recipe for making salsa,1,CARDINAL
recipe for making salsa,2,CARDINAL
recipe for making salsa,3,CARDINAL
recipe for making salsa,4,CARDINAL
recipe for making salsa,at least 30 minutes,TIME
recipe for making salsa,Enjoy,PERSON
what happened on october 10 2006,"October 10, 2006",DATE
what happened on october 10 2006,1,CARDINAL
what happened on october 10 2006,North Korea,GPE
what happened on october 10 2006,first,ORDINAL
what happened on october 10 2006,2,CARDINAL
what happened on october 10 2006,United States,ORG
what happened on october 10 2006,Congress,ORG
what happened on october 10 2006,2006,DATE
what happened on october 10 2006,700-mile,QUANTITY
what happened on october 10 2006,US,GPE
what happened on october 10 2006,3,CARDINAL
what happened on october 10 2006,The Nobel Prize in Literature,WORK_OF_ART
what happened on october 10 2006,Turkish,NORP
what happened on october 10 2006,Orhan Pamuk,PERSON
what happened on october 10 2006,4,CARDINAL
what happened on october 10 2006,"above 11,800",CARDINAL
what happened on october 10 2006,first,ORDINAL
what happened on october 10 2006,5,CARDINAL
what happened on october 10 2006,The San Francisco Giants,ORG
what happened on october 10 2006,the St. Louis Cardinals 6-4,ORG
what happened on october 10 2006,Game 1,EVENT
what happened on october 10 2006,the National League Championship Series,ORG
pictures of places in italy,Italy,GPE
pictures of places in italy,1,CARDINAL
pictures of places in italy,Colosseum,ORG
pictures of places in italy,Rome,GPE
pictures of places in italy,2,CARDINAL
pictures of places in italy,Venice,GPE
pictures of places in italy,photo-1519681393784-d120267933ba?ixid,MONEY
pictures of places in italy,3,CARDINAL
pictures of places in italy,The Leaning Tower,ORG
pictures of places in italy,The Leaning Tower,ORG
pictures of places in italy,4,CARDINAL
pictures of places in italy,The Amalfi Coast,ORG
pictures of places in italy,The Amalfi Coast](https://images.unsplash.com/photo-1565456238631-ecb3c8e5b8f2?ixid,ORG
pictures of places in italy,5,CARDINAL
is jump time open on weekends,None,None
how much does legos cost,Legos,GPE
how much does legos cost,around $10-$20,MONEY
how much does legos cost,several hundred dollars,MONEY
pics of canada,AI language,EVENT
pics of canada,Canada,GPE
garfield elementary school district,None,None
garfield elementary school district boise idaho,Garfield Elementary School,ORG
garfield elementary school district boise idaho,the Boise School District,ORG
garfield elementary school district boise idaho,Boise,GPE
garfield elementary school district boise idaho,Idaho,GPE
garfield elementary school district boise idaho,Garfield Elementary School,ORG
garfield elementary school district boise idaho,1914,DATE
garfield elementary school district boise idaho,Broadway Ave,FAC
garfield elementary school district boise idaho,Boise,GPE
garfield elementary school district boise idaho,83706,DATE
garfield elementary school district boise idaho,K-6,PRODUCT
garfield school district calendar,Garfield School District,ORG
garfield school district calendar,the United States,GPE
all emily windsnap books,Liz Kessler,PERSON
all emily windsnap books,1,CARDINAL
all emily windsnap books,The Tail of Emily Windsnap,ORG
all emily windsnap books,2,CARDINAL
all emily windsnap books,Siren,ORG
all emily windsnap books,"the Ship of Lost Souls
7",LOC
all emily windsnap books,the Falls of Forgotten Island,ORG
all emily windsnap books,The Deep End of the Sea,WORK_OF_ART
all emily windsnap books,"Neptune, Emily's",ORG
soccer ball online,Amazon,ORG
soccer ball online,Dick's Sporting Goods,ORG
soccer ball online,Soccer.com,ORG
soccer ball online,Adidas,PERSON
recipe for snickers,1,CARDINAL
recipe for snickers,2,CARDINAL
recipe for snickers,a 9x13 inch,QUANTITY
recipe for snickers,30 minutes,TIME
recipe for snickers,3,CARDINAL
recipe for snickers,30-second,TIME
recipe for snickers,4,CARDINAL
recipe for snickers,30 minutes,TIME
recipe for snickers,5,CARDINAL
recipe for snickers,30 minutes,TIME
recipe for snickers,6,CARDINAL
recipe for snickers,30 minutes,TIME
recipe for snickers,7,CARDINAL
recipe for snickers,Snickers,ORG
notrth pole,The North Pole,LOC
notrth pole,Earth,LOC
notrth pole,the Arctic Ocean,LOC
notrth pole,the Geographic North Pole or True North,ORG
notrth pole,The North Pole,LOC
notrth pole,Arctic,LOC
notrth pole,The North Pole,LOC
notrth pole,Santa Claus,ORG
pictures of hawaii,AI language model,EVENT
pictures of hawaii,Hawaii,GPE
pictures of hawaii,Google Images,ORG
pictures of hawaii,Flickr,LOC
