User Query,Google Result,Negative,Neutral,Positive,Compound
"What year did the Capulin Volcano Last errupt
","['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano became...', 'The Capulin Volcano last erupted more than 60,000 years ago. From a vent in the earth, pressurized magma exploded into the air, raining lava rock,...', ""Apr 20, 2020 ... Eruptions in the RCVF began approximately 9 million years ago, with Capulin's eruption taking place between 56,000 and 62,000 years ago."", 'It is similar in size and morphology, and probably eruptive characteristics, to Paricutin volcano, Mexico which erupted in 1943. A detailed study of Capulin (...']",0.0,1.0,0.0,0.0
"What year did the Capulin Volcano Last errupt
","['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano became...', 'The Capulin Volcano last erupted more than 60,000 years ago. From a vent in the earth, pressurized magma exploded into the air, raining lava rock,...', ""Apr 20, 2020 ... Eruptions in the RCVF began approximately 9 million years ago, with Capulin's eruption taking place between 56,000 and 62,000 years ago."", 'It is similar in size and morphology, and probably eruptive characteristics, to Paricutin volcano, Mexico which erupted in 1943. A detailed study of Capulin (...']",0.0,1.0,0.0,0.0
"What year did the Capulin Volcano Last errupt
","['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano became...', 'The Capulin Volcano last erupted more than 60,000 years ago. From a vent in the earth, pressurized magma exploded into the air, raining lava rock,...', ""Apr 20, 2020 ... Eruptions in the RCVF began approximately 9 million years ago, with Capulin's eruption taking place between 56,000 and 62,000 years ago."", 'It is similar in size and morphology, and probably eruptive characteristics, to Paricutin volcano, Mexico which erupted in 1943. A detailed study of Capulin (...']",0.0,0.954,0.046,0.0258
"What year did the Capulin Volcano Last errupt
","['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano became...', 'The Capulin Volcano last erupted more than 60,000 years ago. From a vent in the earth, pressurized magma exploded into the air, raining lava rock,...', ""Apr 20, 2020 ... Eruptions in the RCVF began approximately 9 million years ago, with Capulin's eruption taking place between 56,000 and 62,000 years ago."", 'It is similar in size and morphology, and probably eruptive characteristics, to Paricutin volcano, Mexico which erupted in 1943. A detailed study of Capulin (...']",0.0,1.0,0.0,0.0
"What year did the Capulin Volcano Last errupt
","['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano became...', 'The Capulin Volcano last erupted more than 60,000 years ago. From a vent in the earth, pressurized magma exploded into the air, raining lava rock,...', ""Apr 20, 2020 ... Eruptions in the RCVF began approximately 9 million years ago, with Capulin's eruption taking place between 56,000 and 62,000 years ago."", 'It is similar in size and morphology, and probably eruptive characteristics, to Paricutin volcano, Mexico which erupted in 1943. A detailed study of Capulin (...']",0.0,1.0,0.0,0.0
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
","['Dec 19, 2022 ... Every aspect of this plant is specifically designed to thrive in the sometimes harsh Sonoran Desert. The skin of the saguaro cactus covered with...', 'Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to cross in more desolate areas.  Organ Pipe Cactus...', ""Oct 15, 2015 ... The death of a park ranger at the Organ Pipe Cactus National Monument in 2002 put the area at the forefront of America's border crackdown,..."", ""Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 650 candid photos and videos..."", ""664 miles (1,069km) 25790' of climbing (7,861 meters) I left from home last Sunday and Rue met me at Organ Pipe Cactus National Monument to camp.""]",0.097,0.903,0.0,-0.4404
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
","['Dec 19, 2022 ... Every aspect of this plant is specifically designed to thrive in the sometimes harsh Sonoran Desert. The skin of the saguaro cactus covered with...', 'Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to cross in more desolate areas.  Organ Pipe Cactus...', ""Oct 15, 2015 ... The death of a park ranger at the Organ Pipe Cactus National Monument in 2002 put the area at the forefront of America's border crackdown,..."", ""Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 650 candid photos and videos..."", ""664 miles (1,069km) 25790' of climbing (7,861 meters) I left from home last Sunday and Rue met me at Organ Pipe Cactus National Monument to camp.""]",0.141,0.859,0.0,-0.5574
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
","['Dec 19, 2022 ... Every aspect of this plant is specifically designed to thrive in the sometimes harsh Sonoran Desert. The skin of the saguaro cactus covered with...', 'Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to cross in more desolate areas.  Organ Pipe Cactus...', ""Oct 15, 2015 ... The death of a park ranger at the Organ Pipe Cactus National Monument in 2002 put the area at the forefront of America's border crackdown,..."", ""Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 650 candid photos and videos..."", ""664 miles (1,069km) 25790' of climbing (7,861 meters) I left from home last Sunday and Rue met me at Organ Pipe Cactus National Monument to camp.""]",0.126,0.874,0.0,-0.5994
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
","['Dec 19, 2022 ... Every aspect of this plant is specifically designed to thrive in the sometimes harsh Sonoran Desert. The skin of the saguaro cactus covered with...', 'Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to cross in more desolate areas.  Organ Pipe Cactus...', ""Oct 15, 2015 ... The death of a park ranger at the Organ Pipe Cactus National Monument in 2002 put the area at the forefront of America's border crackdown,..."", ""Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 650 candid photos and videos..."", ""664 miles (1,069km) 25790' of climbing (7,861 meters) I left from home last Sunday and Rue met me at Organ Pipe Cactus National Monument to camp.""]",0.0,1.0,0.0,0.0
"In Arizona what dessert is the Organ Pipe Cactus Monument found in
","['Dec 19, 2022 ... Every aspect of this plant is specifically designed to thrive in the sometimes harsh Sonoran Desert. The skin of the saguaro cactus covered with...', 'Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to cross in more desolate areas.  Organ Pipe Cactus...', ""Oct 15, 2015 ... The death of a park ranger at the Organ Pipe Cactus National Monument in 2002 put the area at the forefront of America's border crackdown,..."", ""Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 650 candid photos and videos..."", ""664 miles (1,069km) 25790' of climbing (7,861 meters) I left from home last Sunday and Rue met me at Organ Pipe Cactus National Monument to camp.""]",0.0,1.0,0.0,0.0
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
","['Dec 19, 2022 ... As a desert indicator species, the range of the saguaro cactus is limited to southern Arizona. Saguaro cactus will grow from sea level to about...', 'Organ Pipe Cactus National Monument, Arizona ... To support groundbreaking journalism like ""The Wall,"" find one of the more than 100 USA TODAY NETWORK...', ""Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... An identical-sized pamphlet on cheap paper, which you find in Mexican..."", ""Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 650 candid photos and videos..."", ""664 miles (1,069km) 25790' of climbing (7,861 meters) I left from home last Sunday and Rue met me at Organ Pipe Cactus National Monument to camp.""]",0.066,0.934,0.0,-0.2263
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
","['Dec 19, 2022 ... As a desert indicator species, the range of the saguaro cactus is limited to southern Arizona. Saguaro cactus will grow from sea level to about...', 'Organ Pipe Cactus National Monument, Arizona ... To support groundbreaking journalism like ""The Wall,"" find one of the more than 100 USA TODAY NETWORK...', ""Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... An identical-sized pamphlet on cheap paper, which you find in Mexican..."", ""Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 650 candid photos and videos..."", ""664 miles (1,069km) 25790' of climbing (7,861 meters) I left from home last Sunday and Rue met me at Organ Pipe Cactus National Monument to camp.""]",0.0,0.809,0.191,0.6369
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
","['Dec 19, 2022 ... As a desert indicator species, the range of the saguaro cactus is limited to southern Arizona. Saguaro cactus will grow from sea level to about...', 'Organ Pipe Cactus National Monument, Arizona ... To support groundbreaking journalism like ""The Wall,"" find one of the more than 100 USA TODAY NETWORK...', ""Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... An identical-sized pamphlet on cheap paper, which you find in Mexican..."", ""Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 650 candid photos and videos..."", ""664 miles (1,069km) 25790' of climbing (7,861 meters) I left from home last Sunday and Rue met me at Organ Pipe Cactus National Monument to camp.""]",0.0,1.0,0.0,0.0
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
","['Dec 19, 2022 ... As a desert indicator species, the range of the saguaro cactus is limited to southern Arizona. Saguaro cactus will grow from sea level to about...', 'Organ Pipe Cactus National Monument, Arizona ... To support groundbreaking journalism like ""The Wall,"" find one of the more than 100 USA TODAY NETWORK...', ""Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... An identical-sized pamphlet on cheap paper, which you find in Mexican..."", ""Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 650 candid photos and videos..."", ""664 miles (1,069km) 25790' of climbing (7,861 meters) I left from home last Sunday and Rue met me at Organ Pipe Cactus National Monument to camp.""]",0.0,1.0,0.0,0.0
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
","['Dec 19, 2022 ... As a desert indicator species, the range of the saguaro cactus is limited to southern Arizona. Saguaro cactus will grow from sea level to about...', 'Organ Pipe Cactus National Monument, Arizona ... To support groundbreaking journalism like ""The Wall,"" find one of the more than 100 USA TODAY NETWORK...', ""Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... An identical-sized pamphlet on cheap paper, which you find in Mexican..."", ""Organ Pipe Cactus National Monument, Ajo Picture: Giant cactus, organ pipe, arizona, with car - Check out Tripadvisor members' 650 candid photos and videos..."", ""664 miles (1,069km) 25790' of climbing (7,861 meters) I left from home last Sunday and Rue met me at Organ Pipe Cactus National Monument to camp.""]",0.0,1.0,0.0,0.0
"Witch desert was the Organ Pipe Cactus in
","['Key words: Sonoran Desert, flora, Arizona, Organ Pipe Cactus National Monument,. Cabeza Prieta National Wildlife Refuge, Tinajas Altas, non-native species,...', 'A Zebra-tailed Lizard (Callisaurus draconoides)in Organ Pipe Cactus National Monument, Arizona.', 'Nutritional Value. Organ Pipe cactus has predominately been used as a source of calories and hydration in the desert regions where it has long been grown. Organ...', ""... and the occasional picture. If it has to do with Desert-based green witchcraft, it'll be here. ... Organ Pipe Cactus National Monument, Arizona."", 'Oct 6, 2010 ... This cactus branches at the base, which gives the stems the appearance of organ pipes. Since these sentinels of the desert are very...']",0.0,1.0,0.0,0.0
"Witch desert was the Organ Pipe Cactus in
","['Key words: Sonoran Desert, flora, Arizona, Organ Pipe Cactus National Monument,. Cabeza Prieta National Wildlife Refuge, Tinajas Altas, non-native species,...', 'A Zebra-tailed Lizard (Callisaurus draconoides)in Organ Pipe Cactus National Monument, Arizona.', 'Nutritional Value. Organ Pipe cactus has predominately been used as a source of calories and hydration in the desert regions where it has long been grown. Organ...', ""... and the occasional picture. If it has to do with Desert-based green witchcraft, it'll be here. ... Organ Pipe Cactus National Monument, Arizona."", 'Oct 6, 2010 ... This cactus branches at the base, which gives the stems the appearance of organ pipes. Since these sentinels of the desert are very...']",0.0,1.0,0.0,0.0
"Witch desert was the Organ Pipe Cactus in
","['Key words: Sonoran Desert, flora, Arizona, Organ Pipe Cactus National Monument,. Cabeza Prieta National Wildlife Refuge, Tinajas Altas, non-native species,...', 'A Zebra-tailed Lizard (Callisaurus draconoides)in Organ Pipe Cactus National Monument, Arizona.', 'Nutritional Value. Organ Pipe cactus has predominately been used as a source of calories and hydration in the desert regions where it has long been grown. Organ...', ""... and the occasional picture. If it has to do with Desert-based green witchcraft, it'll be here. ... Organ Pipe Cactus National Monument, Arizona."", 'Oct 6, 2010 ... This cactus branches at the base, which gives the stems the appearance of organ pipes. Since these sentinels of the desert are very...']",0.0,0.912,0.088,0.34
"Witch desert was the Organ Pipe Cactus in
","['Key words: Sonoran Desert, flora, Arizona, Organ Pipe Cactus National Monument,. Cabeza Prieta National Wildlife Refuge, Tinajas Altas, non-native species,...', 'A Zebra-tailed Lizard (Callisaurus draconoides)in Organ Pipe Cactus National Monument, Arizona.', 'Nutritional Value. Organ Pipe cactus has predominately been used as a source of calories and hydration in the desert regions where it has long been grown. Organ...', ""... and the occasional picture. If it has to do with Desert-based green witchcraft, it'll be here. ... Organ Pipe Cactus National Monument, Arizona."", 'Oct 6, 2010 ... This cactus branches at the base, which gives the stems the appearance of organ pipes. Since these sentinels of the desert are very...']",0.0,1.0,0.0,0.0
"Witch desert was the Organ Pipe Cactus in
","['Key words: Sonoran Desert, flora, Arizona, Organ Pipe Cactus National Monument,. Cabeza Prieta National Wildlife Refuge, Tinajas Altas, non-native species,...', 'A Zebra-tailed Lizard (Callisaurus draconoides)in Organ Pipe Cactus National Monument, Arizona.', 'Nutritional Value. Organ Pipe cactus has predominately been used as a source of calories and hydration in the desert regions where it has long been grown. Organ...', ""... and the occasional picture. If it has to do with Desert-based green witchcraft, it'll be here. ... Organ Pipe Cactus National Monument, Arizona."", 'Oct 6, 2010 ... This cactus branches at the base, which gives the stems the appearance of organ pipes. Since these sentinels of the desert are very...']",0.0,1.0,0.0,0.0
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
","['Dec 19, 2022 ... South Puerto Blanco Road is temporarily closed to support ongoing U.S. Customs and Border Protection operations. This closure includes North...', 'The first 30-foot (9.1 m) panels of a new Arizona, US-Mexico border wall were installed in August 2019 on a two-mile (3.2 km) stretch of Organ Pipe Cactus...', 'Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to ... Organ Pipe Cactus National Monument, Arizona.', ""Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... We had this Mexican family who called us for months asking if we knew..."", 'Sonoran Desert Biosphere Reserve and National Monument is situated in the Sonoran desert in southwestern Arizona at the border to Mexico.']",0.0,0.895,0.105,0.4019
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
","['Dec 19, 2022 ... South Puerto Blanco Road is temporarily closed to support ongoing U.S. Customs and Border Protection operations. This closure includes North...', 'The first 30-foot (9.1 m) panels of a new Arizona, US-Mexico border wall were installed in August 2019 on a two-mile (3.2 km) stretch of Organ Pipe Cactus...', 'Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to ... Organ Pipe Cactus National Monument, Arizona.', ""Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... We had this Mexican family who called us for months asking if we knew..."", 'Sonoran Desert Biosphere Reserve and National Monument is situated in the Sonoran desert in southwestern Arizona at the border to Mexico.']",0.0,1.0,0.0,0.0
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
","['Dec 19, 2022 ... South Puerto Blanco Road is temporarily closed to support ongoing U.S. Customs and Border Protection operations. This closure includes North...', 'The first 30-foot (9.1 m) panels of a new Arizona, US-Mexico border wall were installed in August 2019 on a two-mile (3.2 km) stretch of Organ Pipe Cactus...', 'Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to ... Organ Pipe Cactus National Monument, Arizona.', ""Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... We had this Mexican family who called us for months asking if we knew..."", 'Sonoran Desert Biosphere Reserve and National Monument is situated in the Sonoran desert in southwestern Arizona at the border to Mexico.']",0.146,0.854,0.0,-0.5574
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
","['Dec 19, 2022 ... South Puerto Blanco Road is temporarily closed to support ongoing U.S. Customs and Border Protection operations. This closure includes North...', 'The first 30-foot (9.1 m) panels of a new Arizona, US-Mexico border wall were installed in August 2019 on a two-mile (3.2 km) stretch of Organ Pipe Cactus...', 'Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to ... Organ Pipe Cactus National Monument, Arizona.', ""Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... We had this Mexican family who called us for months asking if we knew..."", 'Sonoran Desert Biosphere Reserve and National Monument is situated in the Sonoran desert in southwestern Arizona at the border to Mexico.']",0.0,1.0,0.0,0.0
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
","['Dec 19, 2022 ... South Puerto Blanco Road is temporarily closed to support ongoing U.S. Customs and Border Protection operations. This closure includes North...', 'The first 30-foot (9.1 m) panels of a new Arizona, US-Mexico border wall were installed in August 2019 on a two-mile (3.2 km) stretch of Organ Pipe Cactus...', 'Border crossings: A deadly desert: More barriers along the Mexican border can force illegal immigrants to ... Organ Pipe Cactus National Monument, Arizona.', ""Oct 15, 2015 ... Arizona's Sonoran Desert and Organ Pipe Cactus National Monument ... We had this Mexican family who called us for months asking if we knew..."", 'Sonoran Desert Biosphere Reserve and National Monument is situated in the Sonoran desert in southwestern Arizona at the border to Mexico.']",0.0,1.0,0.0,0.0
"when was the last time the capulin volcano erupted 
","['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano...', 'It is similar in size and morphology, and probably eruptive characteristics, to Paricutin volcano, Mexico which erupted in 1943. A detailed study of Capulin (...', ""Apr 20, 2020 ... Eruptions in the RCVF began approximately 9 million years ago, with Capulin's eruption taking place between 56,000 and 62,000 years ago."", 'The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic...']",0.0,1.0,0.0,0.0
"when was the last time the capulin volcano erupted 
","['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano...', 'It is similar in size and morphology, and probably eruptive characteristics, to Paricutin volcano, Mexico which erupted in 1943. A detailed study of Capulin (...', ""Apr 20, 2020 ... Eruptions in the RCVF began approximately 9 million years ago, with Capulin's eruption taking place between 56,000 and 62,000 years ago."", 'The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic...']",0.0,1.0,0.0,0.0
"when was the last time the capulin volcano erupted 
","['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano...', 'It is similar in size and morphology, and probably eruptive characteristics, to Paricutin volcano, Mexico which erupted in 1943. A detailed study of Capulin (...', ""Apr 20, 2020 ... Eruptions in the RCVF began approximately 9 million years ago, with Capulin's eruption taking place between 56,000 and 62,000 years ago."", 'The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic...']",0.0,1.0,0.0,0.0
