query,entity,label
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
","Organ Pipe Cactus National Monument, Ajo Picture",ORG
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",arizona,GPE
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",Tripadvisor,GPE
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",650,CARDINAL
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",664 miles,QUANTITY
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
","1,069km",QUANTITY
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",25790,DATE
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
","7,861 meters",QUANTITY
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",last Sunday,DATE
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",Rue,PERSON
"In Arizona what dessert is the Organ Pipe Cactus Monument in arizona found
",Organ Pipe Cactus National Monument,ORG
"Witch desert was the Organ Pipe Cactus in
",Sonoran Desert,PERSON
"Witch desert was the Organ Pipe Cactus in
",Arizona,GPE
"Witch desert was the Organ Pipe Cactus in
",Organ Pipe Cactus National Monument,ORG
"Witch desert was the Organ Pipe Cactus in
",Tinajas Altas,ORG
"Witch desert was the Organ Pipe Cactus in
",Lizard,ORG
"Witch desert was the Organ Pipe Cactus in
",Organ Pipe Cactus National Monument,ORG
"Witch desert was the Organ Pipe Cactus in
",Arizona,GPE
"Witch desert was the Organ Pipe Cactus in
",Nutritional Value,ORG
"Witch desert was the Organ Pipe Cactus in
",Organ Pipe,PERSON
"Witch desert was the Organ Pipe Cactus in
",Desert,PERSON
"Witch desert was the Organ Pipe Cactus in
",Organ Pipe Cactus National Monument,ORG
"Witch desert was the Organ Pipe Cactus in
",Arizona,GPE
"Witch desert was the Organ Pipe Cactus in
","6, 2010",DATE
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
","Dec 19, 2022",DATE
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",U.S. Customs and Border Protection,ORG
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",North,PERSON
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",first,ORDINAL
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",30-foot,QUANTITY
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",9.1,CARDINAL
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Arizona,GPE
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",US,GPE
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",August 2019,DATE
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",two-mile,QUANTITY
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",3.2 km,QUANTITY
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Organ Pipe Cactus,ORG
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Mexican,NORP
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Organ Pipe Cactus National Monument,ORG
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Arizona,GPE
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
","15, 2015",DATE
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Arizona,GPE
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Sonoran Desert,PERSON
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Organ Pipe Cactus National Monument,ORG
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Mexican,NORP
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",months,DATE
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Sonoran Desert Biosphere Reserve,PERSON
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",National Monument,ORG
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Sonoran,GPE
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Arizona,GPE
"the name of the desert in arizona that borders mexico That also has the Organ Pipe Cactus in it
",Mexico,GPE
"when was the last time the capulin volcano erupted 
","23, 2016",DATE
"when was the last time the capulin volcano erupted 
","roughly 56,000 to",CARDINAL
"when was the last time the capulin volcano erupted 
","62,000 years ago",DATE
"when was the last time the capulin volcano erupted 
",the Raton-Clayton,ORG
"when was the last time the capulin volcano erupted 
","Mar 10, 2022",DATE
"when was the last time the capulin volcano erupted 
",Capulin Volcano,PERSON
"when was the last time the capulin volcano erupted 
","around 60,000 years ago",DATE
"when was the last time the capulin volcano erupted 
",Capulin Volcano,PERSON
"when was the last time the capulin volcano erupted 
",Paricutin,PERSON
"when was the last time the capulin volcano erupted 
",Mexico,GPE
"when was the last time the capulin volcano erupted 
",1943,DATE
"when was the last time the capulin volcano erupted 
",Capulin,PERSON
"when was the last time the capulin volcano erupted 
","20, 2020",DATE
"when was the last time the capulin volcano erupted 
",RCVF,ORG
"when was the last time the capulin volcano erupted 
",approximately 9 million years ago,DATE
"when was the last time the capulin volcano erupted 
",Capulin,PERSON
"when was the last time the capulin volcano erupted 
","between 56,000 and 62,000 years ago",CARDINAL
"when was the last time the capulin volcano erupted 
",Capulin,GPE
"when was the last time the capulin volcano erupted 
","approximately 60,000 years ago",DATE
"when was the last time the capulin volcano erupted 
",RCVF,ORG
"how many people died in the johnstown flood
","May 31, 2019",DATE
"how many people died in the johnstown flood
","2,208",CARDINAL
"how many people died in the johnstown flood
","the ""Johnstown Flood",ORG
"how many people died in the johnstown flood
",U.S.,GPE
"how many people died in the johnstown flood
","2,209",CARDINAL
"how many people died in the johnstown flood
",99,CARDINAL
"how many people died in the johnstown flood
",396,CARDINAL
"how many people died in the johnstown flood
",124,CARDINAL
"how many people died in the johnstown flood
",198,CARDINAL
"how many people died in the johnstown flood
","Mar 12, 2022",DATE
"how many people died in the johnstown flood
",three,CARDINAL
"how many people died in the johnstown flood
","May 31, 1889",DATE
"how many people died in the johnstown flood
","at least 2,209",CARDINAL
"how many people died in the johnstown flood
",St. Patrick's,GPE
"how many people died in the johnstown flood
",1936,DATE
"how many people died in the johnstown flood
",almost two,CARDINAL
"how many people died in the johnstown flood
",Seven,CARDINAL
"how many people died in the johnstown flood
",$200 million,MONEY
"how many people died in the johnstown flood
",78,CARDINAL
"how many people died in the johnstown flood
",Forty,DATE
"how many people died in the johnstown flood
",the Laurel Run Dam,ORG
"how many people died in the johnstown flood
",Pennsylvania,GPE
"how many people died in the johnstown flood
","May 31, 1889",DATE
"how many people died in the johnstown flood
",the Johnstown Flood,ORG
"how many people died in the johnstown flood
","more than 2,200",CARDINAL
"how many people died in the johnstown flood
",Johnstown,GPE
"how many people died in the johnstown flood
",60 miles,QUANTITY
"what is the desert in arizona that the organ pip cactus is held in
","Dec 19, 2022",DATE
"what is the desert in arizona that the organ pip cactus is held in
",Arizona,GPE
"what is the desert in arizona that the organ pip cactus is held in
",Ajo,PERSON
"what is the desert in arizona that the organ pip cactus is held in
",22 miles,QUANTITY
"what is the desert in arizona that the organ pip cactus is held in
",35.4 km,QUANTITY
"what is the desert in arizona that the organ pip cactus is held in
","6, 2016",DATE
"what is the desert in arizona that the organ pip cactus is held in
",Marie Long & Jess Manuel Garca-Ynez,ORG
"what is the desert in arizona that the organ pip cactus is held in
",Arizona,GPE
"what is the desert in arizona that the organ pip cactus is held in
",Peter Holm,PERSON
"what is the desert in arizona that the organ pip cactus is held in
","Organ Pipe Cactus National Monument,",ORG
"what is the desert in arizona that the organ pip cactus is held in
",Federico Godinez Leal,PERSON
"what is the desert in arizona that the organ pip cactus is held in
",Sonoran Desert,PERSON
"what is the desert in arizona that the organ pip cactus is held in
",Arizona,GPE
"what is the desert in arizona that the organ pip cactus is held in
",Organ Pipe Cactus National,ORG
"organ pipe cactus national monument
","Dec 19, 2022",DATE
"organ pipe cactus national monument
",Organ Pipe Cactus National Monument,ORG
"organ pipe cactus national monument
",International Biosphere Reserve,ORG
"organ pipe cactus national monument
",Organ Pipe Cactus National Monument,ORG
"organ pipe cactus national monument
",U.S.,GPE
"organ pipe cactus national monument
",UNESCO,ORG
"organ pipe cactus national monument
",Arizona,GPE
"organ pipe cactus national monument
","Dec 19, 2022",DATE
"organ pipe cactus national monument
",16.00,MONEY
"organ pipe cactus national monument
",Access Pass,ORG
"organ pipe cactus national monument
",50%,PERCENT
"organ pipe cactus national monument
",Roosevelt,PERSON
"organ pipe cactus national monument
",Organ Pipe Cactus National Monument,ORG
"organ pipe cactus national monument
","more than 330,000 acres",QUANTITY
"organ pipe cactus national monument
",the Sonoran Desert,LOC
"organ pipe cactus national monument
",Arizona,GPE
"organ pipe cactus national monument
","Dec 19, 2022",DATE
"organ pipe cactus national monument
","This 330,000 acre",QUANTITY
"organ pipe cactus national monument
",1937,DATE
"organ pipe cactus national monument
",Sonoran Desert,PERSON
"organ pipe cactus national monument
",Organ Pipe Cactus National Monument...,ORG
"what country is the roosevelt campobello in
",Roosevelt Campobello International Park,PERSON
"what country is the roosevelt campobello in
",two,CARDINAL
"what country is the roosevelt campobello in
",Parks Canada,ORG
"what country is the roosevelt campobello in
",the U.S. National Park Service,ORG
"what country is the roosevelt campobello in
","Feb 19, 2016",DATE
"what country is the roosevelt campobello in
",Roosevelt,PERSON
"what country is the roosevelt campobello in
","Beloved Island"" Memorial",WORK_OF_ART
"what country is the roosevelt campobello in
",many years,DATE
"what country is the roosevelt campobello in
",Franklin D. Roosevelt,PERSON
"what country is the roosevelt campobello in
",Campobello Island,LOC
"what country is the roosevelt campobello in
",FDR,PERSON
"everglades national park
","Jan 9, 2023",DATE
"everglades national park
",National Park,GPE
"everglades national park
",American,NORP
"everglades national park
",twenty percent,PERCENT
"everglades national park
",Florida,GPE
"everglades national park
",Florida,GPE
"everglades national park
",1.5 million acres,QUANTITY
"everglades national park
",National Park,GPE
"everglades national park
",North American,NORP
"everglades national park
",National Park,LOC
"everglades national park
",third,ORDINAL
"everglades national park
",48,CARDINAL
"everglades national park
","2,400 square miles",QUANTITY
"what country  is the Roosevelt Campobello international park in
","Feb 19, 2016",DATE
"what country  is the Roosevelt Campobello international park in
",FDR,PERSON
"what country  is the Roosevelt Campobello international park in
",U.S.,GPE
"what country  is the Roosevelt Campobello international park in
",Canada,GPE
"what country  is the Roosevelt Campobello international park in
",Roosevelt Campobello International Park,PERSON
"what country  is the Roosevelt Campobello international park in
",Roosevelt Campobello International Park,PERSON
"what country  is the Roosevelt Campobello international park in
",summer,DATE
"what country  is the Roosevelt Campobello international park in
",Franklin D. Roosevelt,PERSON
"what country  is the Roosevelt Campobello international park in
",Eleanor Roosevelt,PERSON
"what country  is the Roosevelt Campobello international park in
",Campobello Island,LOC
"what country  is the Roosevelt Campobello international park in
",New Brunswick,GPE
"what country  is the Roosevelt Campobello international park in
",Canada,GPE
"what country  is the Roosevelt Campobello international park in
",the FDR International Bridge,EVENT
"what country  is the Roosevelt Campobello international park in
",Lubec,GPE
"what country  is the Roosevelt Campobello international park in
",Maine,GPE
"what country  is the Roosevelt Campobello international park in
",Roosevelt Campobello International Park,PERSON
"what country  is the Roosevelt Campobello international park in
",Franklin,ORG
"what country  is the Roosevelt Campobello international park in
",Beloved Island,LOC
"what country  is the Roosevelt Campobello international park in
",The Summer Home of President,ORG
"what country  is the Roosevelt Campobello international park in
",Franklin D.,PERSON
"what is the name of the organ pipe cactis desert
","Dec 19, 2022",DATE
"what is the name of the organ pipe cactis desert
",the Sonoran Desert,LOC
"what is the name of the organ pipe cactis desert
",Organ Pipe Cactus National Monument,ORG
"what is the name of the organ pipe cactis desert
",the United States,GPE
"what is the name of the organ pipe cactis desert
",the Sonoran Desert,LOC
"what is the name of the organ pipe cactis desert
","Dec 19, 2022",DATE
"what is the name of the organ pipe cactis desert
",the Sonoran Desert,LOC
"what is the name of the organ pipe cactis desert
",Organ Pipe Cactus National Monument,ORG
"what is the name of the organ pipe cactis desert
",U.S.,GPE
"what is the name of the organ pipe cactis desert
",UNESCO,ORG
"what is the name of the organ pipe cactis desert
",Arizona,GPE
"what is the name of the organ pipe cactis desert
","3, 2016",DATE
"what is the name of the organ pipe cactis desert
",Organ Pipe Cactus National Monument,ORG
"what is the name of the organ pipe cactis desert
",second,ORDINAL
"when was last time time volcano erupted in new mexico
","23, 2016",DATE
"when was last time time volcano erupted in new mexico
","roughly 56,000 to",CARDINAL
"when was last time time volcano erupted in new mexico
","62,000 years ago",DATE
"when was last time time volcano erupted in new mexico
",the Raton-Clayton,ORG
"when was last time time volcano erupted in new mexico
","May 4, 2022",DATE
"when was last time time volcano erupted in new mexico
",New Mexico,GPE
"when was last time time volcano erupted in new mexico
",Mount Taylor,LOC
"when was last time time volcano erupted in new mexico
",the Jemez Mountains,LOC
"when was last time time volcano erupted in new mexico
",Albuquerque,PERSON
"when was last time time volcano erupted in new mexico
",Capulin,PERSON
"when was last time time volcano erupted in new mexico
",1000s of years,DATE
"when was last time time volcano erupted in new mexico
",New Mexico,GPE
"when was last time time volcano erupted in new mexico
",Capulin Volcano National Monument  ,PERSON
"when was last time time volcano erupted in new mexico
",El Malpais National Monument and,ORG
"when was last time time volcano erupted in new mexico
",Zuni Bandera Volcanic,PERSON
"when was last time time volcano erupted in new mexico
","Mar 10, 2022",DATE
"when was last time time volcano erupted in new mexico
",Capulin Volcano,PERSON
"when was last time time volcano erupted in new mexico
","around 60,000 years ago",DATE
"when was last time time volcano erupted in new mexico
",Capulin Volcano,PERSON
"when was last time capulin erupted
","23, 2016",DATE
"when was last time capulin erupted
","roughly 56,000 to",CARDINAL
"when was last time capulin erupted
","62,000 years ago",DATE
"when was last time capulin erupted
",the Raton-Clayton,ORG
"when was last time capulin erupted
","Mar 10, 2022",DATE
"when was last time capulin erupted
",Capulin Volcano,PERSON
"when was last time capulin erupted
","around 60,000 years ago",DATE
"when was last time capulin erupted
",Capulin Volcano,PERSON
"when was last time capulin erupted
",Capulin,GPE
"when was last time capulin erupted
","approximately 60,000 years ago",DATE
"when was last time capulin erupted
",RCVF,ORG
"when was last time capulin erupted
","20, 2020",DATE
"when was last time capulin erupted
",RCVF,ORG
"when was last time capulin erupted
",approximately 9 million years ago,DATE
"when was last time capulin erupted
",Capulin,PERSON
"when was last time capulin erupted
","between 56,000 and 62,000 years ago",CARDINAL
"when was last time capulin erupted
",Paricutin,PERSON
"when was last time capulin erupted
",Mexico,GPE
"when was last time capulin erupted
",1943,DATE
"when was last time capulin erupted
",Capulin,PERSON
"how many people died during pennsylvania flood
","May 31, 2019",DATE
"how many people died during pennsylvania flood
","2,208",CARDINAL
"how many people died during pennsylvania flood
","the ""Johnstown Flood",ORG
"how many people died during pennsylvania flood
",U.S.,GPE
"how many people died during pennsylvania flood
",the 1900,DATE
"how many people died during pennsylvania flood
","Mar 12, 2022",DATE
"how many people died during pennsylvania flood
",three,CARDINAL
"how many people died during pennsylvania flood
","May 31, 1889",DATE
"how many people died during pennsylvania flood
","at least 2,209",CARDINAL
"how many people died during pennsylvania flood
",St. Patrick's,GPE
"how many people died during pennsylvania flood
",1936,DATE
"how many people died during pennsylvania flood
","2,209",CARDINAL
"how many people died during pennsylvania flood
",99,CARDINAL
"how many people died during pennsylvania flood
",396,CARDINAL
"how many people died during pennsylvania flood
",124,CARDINAL
"how many people died during pennsylvania flood
",198,CARDINAL
"how many people died during pennsylvania flood
","Over 2,000",CARDINAL
"how many people died during pennsylvania flood
",the Johnstown Flood  Citation Information  Fact Check,ORG
"how many people died during pennsylvania flood
",This Day,DATE
"how many people died during pennsylvania flood
",History May,GPE
"how many people died during pennsylvania flood
",31,CARDINAL
"how many people died during pennsylvania flood
",About two dozen,CARDINAL
"how many people died during pennsylvania flood
",77,CARDINAL
"how many people died during pennsylvania flood
",1936,DATE
"how many people died during pennsylvania flood
",Pennsylvania,GPE
"where are oregon pipe cactuses located in arizona
","Dec 19, 2022",DATE
"where are oregon pipe cactuses located in arizona
",Organ Pipe Cactus National Monument,ORG
"where are oregon pipe cactuses located in arizona
",International Biosphere Reserve,ORG
"where are oregon pipe cactuses located in arizona
",Organ Pipe Cactus National Monument,ORG
"where are oregon pipe cactuses located in arizona
",U.S.,GPE
"where are oregon pipe cactuses located in arizona
",UNESCO,ORG
"where are oregon pipe cactuses located in arizona
",Arizona,GPE
"where are oregon pipe cactuses located in arizona
","Dec 19, 2022",DATE
"where are oregon pipe cactuses located in arizona
",Arizona,GPE
"where are oregon pipe cactuses located in arizona
",Arizona,GPE
"where are oregon pipe cactuses located in arizona
",National Park Service Units,ORG
"where are oregon pipe cactuses located in arizona
",NPS,ORG
"where are oregon pipe cactuses located in arizona
",Roosevelt,PERSON
"where are oregon pipe cactuses located in arizona
",Organ Pipe Cactus National Monument,ORG
"where are oregon pipe cactuses located in arizona
","more than 330,000 acres",QUANTITY
"where are oregon pipe cactuses located in arizona
",the Sonoran Desert,LOC
"where are oregon pipe cactuses located in arizona
",Arizona,GPE
"where are oregon pipe cactuses located in arizona
","Dec 19, 2022",DATE
"where are oregon pipe cactuses located in arizona
",16.00,MONEY
"where are oregon pipe cactuses located in arizona
",Access Pass,ORG
"where are oregon pipe cactuses located in arizona
",50%,PERCENT
"organ pipe cactus what is the name of the desert
","Dec 19, 2022",DATE
"organ pipe cactus what is the name of the desert
",the Sonoran Desert,LOC
"organ pipe cactus what is the name of the desert
",Organ Pipe Cactus National Monument,ORG
"organ pipe cactus what is the name of the desert
",Organ Pipe Cactus National Monument,ORG
"organ pipe cactus what is the name of the desert
",U.S.,GPE
"organ pipe cactus what is the name of the desert
",UNESCO,ORG
"organ pipe cactus what is the name of the desert
",Arizona,GPE
"organ pipe cactus what is the name of the desert
","3, 2016",DATE
"organ pipe cactus what is the name of the desert
",Organ Pipe Cactus National Monument,ORG
"organ pipe cactus what is the name of the desert
",the United States,GPE
"organ pipe cactus what is the name of the desert
",the Sonoran Desert,LOC
"organ pipe cactus what is the name of the desert
",Jun,PERSON
"organ pipe cactus what is the name of the desert
","24, 2018 ... 1950",DATE
"organ pipe cactus what is the name of the desert
",Ajo Chamber of Commerce,ORG
"organ pipe cactus what is the name of the desert
",Organ Pipe's,PERSON
"organ pipe cactus what is the name of the desert
",Arizona,GPE
"organ pipe cactus what is the name of the desert
",Congress,ORG
"when was the last time this volcano erupted in new mexico
","23, 2016",DATE
"when was the last time this volcano erupted in new mexico
","roughly 56,000 to",CARDINAL
"when was the last time this volcano erupted in new mexico
","62,000 years ago",DATE
"when was the last time this volcano erupted in new mexico
",the Raton-Clayton,ORG
"when was the last time this volcano erupted in new mexico
","May 4, 2022",DATE
"when was the last time this volcano erupted in new mexico
",New Mexico,GPE
"when was the last time this volcano erupted in new mexico
",Mount Taylor,LOC
"when was the last time this volcano erupted in new mexico
",the Jemez Mountains,LOC
"when was the last time this volcano erupted in new mexico
",Albuquerque,PERSON
"when was the last time this volcano erupted in new mexico
",Capulin,PERSON
"when was the last time this volcano erupted in new mexico
",1000s of years,DATE
"when was the last time this volcano erupted in new mexico
",New Mexico,GPE
"when was the last time this volcano erupted in new mexico
","Mar 10, 2022",DATE
"when was the last time this volcano erupted in new mexico
",Capulin Volcano,PERSON
"when was the last time this volcano erupted in new mexico
","around 60,000 years ago",DATE
"when was the last time this volcano erupted in new mexico
",Capulin Volcano,PERSON
"when was the last time volcano capulin
","23, 2016",DATE
"when was the last time volcano capulin
","roughly 56,000 to",CARDINAL
"when was the last time volcano capulin
","62,000 years ago",DATE
"when was the last time volcano capulin
",the Raton-Clayton,ORG
"when was the last time volcano capulin
","Mar 10, 2022",DATE
"when was the last time volcano capulin
",Capulin,PERSON
"when was the last time volcano capulin
",1980,DATE
"when was the last time volcano capulin
","between 55,000 to 62,000 years ago",CARDINAL
"when was the last time volcano capulin
","20, 2020",DATE
"when was the last time volcano capulin
",today,DATE
"when was the last time volcano capulin
",Capulin Volcano,PERSON
"when was the last time volcano capulin
",only one,CARDINAL
"when was the last time volcano capulin
",Capulin,PERSON
"when was the last time volcano capulin
",Capulin,GPE
"when was the last time volcano capulin
","approximately 60,000 years ago",DATE
"what is the country is the roosevelt campobello in 
",two,CARDINAL
"what is the country is the roosevelt campobello in 
",Parks Canada,ORG
"what is the country is the roosevelt campobello in 
",the U.S. National Park Service,ORG
"what is the country is the roosevelt campobello in 
","Feb 19, 2016",DATE
"what is the country is the roosevelt campobello in 
",Roosevelt,PERSON
"what is the country is the roosevelt campobello in 
","Beloved Island"" Memorial",WORK_OF_ART
"what is the country is the roosevelt campobello in 
",many years,DATE
"what is the country is the roosevelt campobello in 
",Franklin D. Roosevelt,PERSON
"what is the country is the roosevelt campobello in 
",Campobello Island,LOC
"what is the country is the roosevelt campobello in 
",Roosevelt,PERSON
"what is the country is the roosevelt campobello in 
",two,CARDINAL
"what is the country is the roosevelt campobello in 
",Eleanor Roosevelt,PERSON
"what is the country is the roosevelt campobello in 
",the Roosevelt Cottage,GPE
"what is the country is the roosevelt campobello in 
",1962,DATE
"what is the country is the roosevelt campobello in 
",Roosevelt Campobello International Park,PERSON
"what is the country is the roosevelt campobello in 
",two,CARDINAL
"what is the country is the roosevelt campobello in 
",the summer of 1921,DATE
"what is the country is the roosevelt campobello in 
",Franklin,ORG
"what is the two particular species exist in Florida
","27, 2022",DATE
